City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Whitecourt,CA,54.1502,-115.6855,54.64,50,40,17.27,scattered clouds
321,Laibin,CN,23.7,109.2667,81.93,83,100,1.03,overcast clouds
322,Puerto Penasco,MX,31.3167,-113.5333,78.78,77,1,8.99,clear sky
323,Paamiut,GL,61.994,-49.6678,35.22,94,100,7.54,overcast clouds
324,Inhambane,MZ,-23.865,35.3833,76.98,61,0,10.36,clear sky
325,Pestovo,RU,58.5938,35.8024,54.77,44,100,9.82,overcast clouds
326,Sumbe,AO,-11.2061,13.8437,82.17,63,32,6.71,scattered clouds
327,Beldanga,IN,23.9333,88.25,86.23,67,100,9.22,overcast clouds
328,Poli,TZ,-3.3333,36.8,63.21,79,92,2.93,overcast clouds
329,Greenwood,US,34.1668,-82.1165,80.78,71,40,1.99,scattered clouds
330,Port-Cartier,CA,50.0334,-66.8654,53.82,49,32,7.36,scattered clouds
331,Gazli,UZ,40.1333,63.45,98.08,12,0,10.11,clear sky
332,Conde,BR,-7.2597,-34.9075,83.66,61,75,15.48,broken clouds
333,Campbellsville,US,37.3434,-85.3419,54.16,62,100,1.99,overcast clouds
334,Governador Valadares,BR,-18.8511,-41.9494,86.43,48,26,3.33,scattered clouds
335,Saint-Augustin,CA,51.226,-58.6502,53.65,40,14,12.15,few clouds
336,Macusani,PE,-14.0833,-70.4333,48.96,33,75,7.83,broken clouds
337,Igarka,RU,67.4667,86.5833,29.08,92,86,9.4,overcast clouds
338,Totness,SR,5.8833,-56.3167,79.47,83,100,8.95,overcast clouds
339,Brigantine,US,39.4101,-74.3646,54.01,94,90,26.96,light rain
340,Chum Phae,TH,16.5443,102.0992,80.73,77,98,4.32,overcast clouds
341,Olinda,BR,-8.0089,-34.8553,80.33,61,40,13.53,scattered clouds
342,Anahuac,MX,27.2333,-100.15,69.3,85,99,9.78,overcast clouds
343,Isla Vista,US,34.4133,-119.861,63.61,72,40,6.91,scattered clouds
344,Klaksvik,FO,62.2266,-6.589,52.72,93,66,12.53,broken clouds
345,Miri,MY,4.4148,114.0089,77.14,94,40,2.35,scattered clouds
